#     Time(s)        He4(msun)       Tmax(K)        TotalKE(erg)    RotKE(erg)   NonRotKE(erg) 
     6.31450539e+00 2.06949308e-02 1.80902285e+09 5.60854077e+49 3.92232500e+49 1.68621577e+49     
     6.32918920e+00 2.06944956e-02 1.74295552e+09 5.60946491e+49 3.92034278e+49 1.68912213e+49     
     6.34437691e+00 2.06940277e-02 1.70637517e+09 5.61043860e+49 3.91832014e+49 1.69211847e+49     
     6.35962725e+00 2.06935668e-02 1.60106586e+09 5.61142227e+49 3.91631388e+49 1.69510839e+49     
     6.37511730e+00 2.06931720e-02 1.54415680e+09 5.61241958e+49 3.91429942e+49 1.69812016e+49     
     6.38991178e+00 2.06928375e-02 1.47150618e+09 5.61336726e+49 3.91239690e+49 1.70097037e+49     
     6.40041698e+00 2.06926252e-02 1.39864154e+09 5.61403164e+49 3.91105836e+49 1.70297328e+49     
     6.41521749e+00 2.06923557e-02 1.28797005e+09 5.61495694e+49 3.90919114e+49 1.70576580e+49     
     6.43064424e+00 2.06920859e-02 1.16537165e+09 5.61590143e+49 3.90726748e+49 1.70863395e+49     
     6.44661083e+00 2.06918133e-02 1.14516352e+09 5.61685026e+49 3.90529860e+49 1.71155166e+49     
     6.46283169e+00 2.06915424e-02 1.07103162e+09 5.61778139e+49 3.90331966e+49 1.71446173e+49     
     6.47966583e+00 2.06912543e-02 1.05295283e+09 5.61871144e+49 3.90128868e+49 1.71742276e+49     
     6.49716532e+00 2.06909606e-02 1.03758259e+09 5.61963644e+49 3.89920249e+49 1.72043394e+49     
     6.50014606e+00 2.06909113e-02 1.03064672e+09 5.61978948e+49 3.89884967e+49 1.72093981e+49     
     6.51811331e+00 2.06906132e-02 1.04388058e+09 5.62068079e+49 3.89673823e+49 1.72394256e+49     
     6.53597503e+00 2.06903255e-02 1.04470835e+09 5.62151395e+49 3.89466518e+49 1.72684878e+49     
     6.55429343e+00 2.06900262e-02 1.07773952e+09 5.62231161e+49 3.89256629e+49 1.72974533e+49     
     6.57320148e+00 2.06897286e-02 1.08665011e+09 5.62306942e+49 3.89042687e+49 1.73264256e+49     
     6.59288330e+00 2.06894218e-02 1.04690003e+09 5.62378426e+49 3.88822668e+49 1.73555757e+49     
     6.60026961e+00 2.06893058e-02 1.02900128e+09 5.62403417e+49 3.88740779e+49 1.73662637e+49     
     6.62100001e+00 2.06889873e-02 1.06874611e+09 5.62468123e+49 3.88513042e+49 1.73955080e+49     
     6.64269915e+00 2.06886647e-02 1.03290554e+09 5.62527521e+49 3.88277957e+49 1.74249564e+49     
     6.66473847e+00 2.06883382e-02 9.94782016e+08 5.62578661e+49 3.88042351e+49 1.74536310e+49     
     6.68702069e+00 2.06879848e-02 1.01143238e+09 5.62621173e+49 3.87807159e+49 1.74814014e+49     
     6.70025342e+00 2.06877600e-02 1.03582054e+09 5.62642468e+49 3.87668907e+49 1.74973561e+49     
     6.72193005e+00 2.06874272e-02 1.03270982e+09 5.62671658e+49 3.87444931e+49 1.75226727e+49     
     6.74405059e+00 2.06870747e-02 9.91792960e+08 5.62694669e+49 3.87219798e+49 1.75474871e+49     
     6.76697841e+00 2.06867530e-02 1.03139155e+09 5.62710733e+49 3.86989886e+49 1.75720847e+49     
     6.79030976e+00 2.06864471e-02 1.04891194e+09 5.62719148e+49 3.86759346e+49 1.75959802e+49     
     6.80046514e+00 2.06863166e-02 1.04394701e+09 5.62720626e+49 3.86660179e+49 1.76060446e+49     
     6.82411330e+00 2.06860303e-02 9.90006656e+08 5.62718880e+49 3.86431887e+49 1.76286993e+49     
     6.84769566e+00 2.06857564e-02 9.48088448e+08 5.62710065e+49 3.86208181e+49 1.76501884e+49     
     6.87214306e+00 2.06854969e-02 9.56938944e+08 5.62694508e+49 3.85981124e+49 1.76713384e+49     
